name,latitude,longitude,authority,source,source
Drop 2 (CA),32.705435,-115.030975,Imperial Irrigation District,Canal Filtered,Canal Filtered
Drop 3 (CA),32.705428,-115.126103,Imperial Irrigation District,Well & Canal Filtered,Well & Canal Filtered
Drop 4,32.705341,-115.219067,Imperial Irrigation District,Well & Canal Filtered,Well & Canal Filtered
Pilot Knob,32.736642,-114.713858,Imperial Irrigation District,Canal Filtered,Canal Filtered
El Centro,32.802222,-115.540000,Imperial Irrigation District,Dogwood Canal,Dogwood Canal
Solomon Gulch,61.082800,-146.303300,,Solomon Lake,Solomon Lake
Big Pine Creek,37.142795,-118.324075,Los Angeles Department of Water and Power,Big Pine Creek,Big Pine Creek
Castaic,34.587237,-118.656638,Los Angeles Department of Water and Power,Pyramid Lake California Aquedu,Pyramid Lake California Aquedu
Control Gorge,37.437921,-118.556988,Los Angeles Department of Water and Power,Middle Gorge Tailbay,Middle Gorge Tailbay
Cottonwood,36.443421,-118.043890,Los Angeles Department of Water and Power,Cottonwood Creek,Cottonwood Creek
Foothill,34.318248,-118.494449,Los Angeles Department of Water and Power,Los Angeles Aqueduct,Los Angeles Aqueduct
Franklin (CA),34.103931,-118.413377,Los Angeles Department of Water and Power,Municipality,Municipality
Haiwee,36.109722,-117.956667,Los Angeles Department of Water and Power,Los Angeles Aqueduct,Los Angeles Aqueduct
Harbor,33.770600,-118.265600,Los Angeles Department of Water and Power,Pacific Ocean,Pacific Ocean
Haynes,33.764741,-118.099130,Los Angeles Department of Water and Power,Pacific Ocean,Pacific Ocean
Middle Gorge,37.510000,-118.569167,Los Angeles Department of Water and Power,Upper Gorge Tailbay,Upper Gorge Tailbay
Pleasant Valley Hydro,37.414160,-118.523889,Los Angeles Department of Water and Power,Pleasant Valley Reservoir,Pleasant Valley Reservoir
San Fernando,34.312778,-118.492778,Los Angeles Department of Water and Power,Los Angeles Aqueduct,Los Angeles Aqueduct
Scattergood,33.918151,-118.427648,Los Angeles Department of Water and Power,Pacific Ocean,Pacific Ocean
Tok,63.335520,-142.999970,,Well,Well
Upper Gorge,37.546036,-118.590001,Los Angeles Department of Water and Power,Lake Crowley,Lake Crowley
Valley (CA),34.244991,-118.391327,Los Angeles Department of Water and Power,Municipality,Municipality
Exchequer,37.584345,-120.268590,California Independent System Operator,Lake Mcclure-Merced River,Lake Mcclure-Merced River
McSwain,37.522065,-120.310090,California Independent System Operator,Lake Mcswain-Merced River,Lake Mcswain-Merced River
Chicago Park,39.177903,-120.890856,California Independent System Operator,Bear River,Bear River
Dutch Flat 2,39.218400,-120.835200,California Independent System Operator,Bear River,Bear River
Beardsley,38.202569,-120.076983,California Independent System Operator,Stanislaus River,Stanislaus River
Donnells,38.246656,-120.034072,California Independent System Operator,Stanislaus River,Stanislaus River
Tulloch,37.876111,-120.605000,California Independent System Operator,Stanislaus River,Stanislaus River
