name,latitude,longitude
La Porte,42.3159,-92.1928
Laurens,42.8486,-94.8506
Lenox,40.88,-94.5589
Manning,41.9067,-95.0347
Maquoketa 1,42.035556,-90.665
McGregor,43.023733,-91.174927
Milford,43.326083,-95.148339
Montezuma,41.586026,-92.5228
Mt Pleasant,40.971826,-91.551221
Muscatine Plant #1,41.3917,-91.0569
New Hampton,43.0689,-92.3201
Ogden,42.0372,-94.0462
Osage (IA),43.279722,-92.810556
Ottumwa City of,41.016346,-92.414873
Pella,41.3981,-92.9144
Preston (IA),42.0507,-90.3942
Primghar,43.08713,-95.62596
Rockford,43.0489,-92.9468
Rock Rapids,43.429444,-96.169166
Sibley One,43.405,-95.7261
Spencer Gas Turbine,43.144585,-95.144257
State Center,42.01667,-93.16333
Story City,42.186076,-93.600479
Strawberry Point,42.684444,-91.535555
Stuart (IA),41.503889,-94.3172
Sumner,42.8464,-92.0978
Traer Main,42.1926,-92.4636
Villisca Municipal Power Plant,40.9315,-94.9855
Vinton,42.1697,-92.0222
Webster City,42.471022,-93.81499
West Bend,42.961151,-94.445574
West Liberty,41.569128,-91.26405
Whittemore,43.064444,-94.421944
Wilton,41.587748,-91.019456
Winterset,41.3372,-94.0126
Summit Lake,41.1136,-94.3472
Earl F Wisdom,43.1606,-95.2569
Fair Station,41.4569,-90.8233
Bird City,39.7581,-101.5319
Colby,39.403001,-101.038202
Cimarron River,37.1611,-100.7619
Fort Dodge,37.7328,-99.9497
Great Bend - Sunflower,38.41,-98.8689
Riverton,37.072616,-94.698704
Gordon Evans Energy Center,37.7903,-97.521667
La Cygne,38.3481,-94.6456
Murray Gill,37.5967,-97.413611
Neosho,37.305556,-95.110278
Hutchinson Energy Center,38.0906,-97.874722
Lawrence Energy Center,39.0072,-95.269167
Abilene Energy Center Combustion Turbine,38.8831,-97.201389
Tecumseh Energy Center,39.0539,-95.568889
Anthony,37.1517,-98.0311
Ashland,37.193787,-99.763073
Augusta Electric Plant No 1,37.678454,-96.97193
Baldwin City Plant No 1,38.7745,-95.1867
Belleville,39.832769,-97.632038
Beloit,39.4578,-98.1122
Burlingame,38.7551,-95.8368
Burlington (KS),38.193441,-95.749953
Chanute 1,37.683333,-95.454722
Chanute 2,37.6953,-95.4586
Clay Center,39.373966,-97.127211
Coffeyville,37.037344,-95.612689
Colby City of,39.394414,-101.058372
Ellinwood,38.354514,-98.583436
Ellis,38.947222,-99.528611
Erie,37.56681,-95.237499
Garnett Municipal,38.2697,-95.2447
Girard,37.507709,-94.839318
Goodland,39.341622,-101.705188
Herington,38.6658,-96.9492
Hill City,39.3582,-99.8417
Hoisington,38.513,-98.7747
Holton,39.4735,-95.73155
Hugoton 1,37.175,-101.3458
Iola,37.923076,-95.425572
Jetmore,38.080332,-99.893587
Kaw,39.0867,-94.651389
Quindaro,39.1492,-94.6381
Kingman Municipal Power and Light Plant,37.38311,-98.070364
La Crosse,38.531667,-99.308333
Gas Turbine (KS),38.1797,-99.1125
Larned,38.176167,-99.099984
Lincoln,39.03719,-98.152993
McPherson 2,38.363411,-97.68335
Meade,37.285176,-100.332438
