name,latitude,longitude,authority,source,owner
"CF Novel Solar CSG Gardens Eleven, LLC",44.240000,-93.960000,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
WasecaSun,44.051448,-93.386458,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Astoria Station,44.560116,-96.559397,"Midcontinent Independent Transmission System Operator, Inc..",,Otter Tail Power Co
Brown County LFGTE Power Station,38.895000,-83.903000,"PJM Interconnection, LLC",,Duke Energy Ohio Inc
Intel Folsom Phase 3,38.645961,-121.162623,California Independent System Operator,,Sacramento Municipal Util Dist
AT&T Holger,37.417638,-121.944530,California Independent System Operator,,Pacific Gas & Electric Co
AT&T Anaheim,33.836439,-117.916893,California Independent System Operator,,City of Anaheim - (CA)
Big Timber Wind Farm,45.855428,-109.649167,NorthWestern Energy (NWMT),,NorthWestern Energy LLC - (MT)
St. Pauls Solar 2,34.769100,-78.981000,Duke Energy Carolinas,,Duke Energy Progress - (NC)
Boaz Farm Solar,35.467770,-79.134440,Duke Energy Carolinas,,Duke Energy Progress - (NC)
Bizzell Church Solar 2,35.544405,-78.177204,Duke Energy Carolinas,,Duke Energy Progress - (NC)
Milligan III Wind Farm,40.500672,-97.198089,Southwest Power Pool,,Nebraska Public Power District
MILL SOLAR 1,35.575000,-80.821000,Duke Energy Carolinas,,Duke Energy Progress - (NC)
Broadlands Wind Farm,39.831880,-88.072302,"Midcontinent Independent Transmission System Operator, Inc..",,Ameren Illinois Company
RB Manufacturing LLC Belle Mead NJ,40.483601,-74.650123,"PJM Interconnection, LLC",,Public Service Elec & Gas Co
Onset East Community Solar Facility,41.757027,-70.653675,ISO New England Inc.,,NSTAR Electric Company
Onset West Community Solar Facility,41.757027,-70.653675,ISO New England Inc.,,NSTAR Electric Company
Columbus Solar Project,31.866730,-107.587513,Public Service Company of New Mexico,,"Tri-State G & T Assn, Inc"
Tyee Lake Hydroelectric Facility,56.216403,-131.504344,No BA,Lake,Southeast Alaska Power Agency
Peak Valley Solar Farm,34.987952,-117.571611,California Independent System Operator,,Southern California Edison Co
Eland 1 Solar Farm,35.223700,-117.977000,California Independent System Operator,,Los Angeles Department of Water & Power
Eland 2 Solar Farm,35.216700,-117.977000,California Independent System Operator,,Los Angeles Department of Water & Power
Long Ridge Solar Farm,39.523000,-112.546000,Los Angeles Department of Water and Power,,Los Angeles Department of Water & Power
EE Waianae Solar Project,21.452002,-158.187888,Hawaiian Electric Co Inc,,Hawaiian Electric Co Inc
IKEA Miami 327,25.791500,-80.383800,Florida Power & Light Company,,Florida Power & Light Co
Taurus Community Solar,44.950280,-95.691471,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Pegasus Community Solar,45.495453,-95.124682,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Antares Community Solar,44.226179,-95.623804,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Corvus Community Solar,44.191352,-93.944002,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Capella Community Solar,44.090100,-96.161204,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Carina Community Solar,44.164677,-92.241187,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Caelum Community Solar,45.662006,-93.936782,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Andromeda Community Solar,44.901926,-94.031626,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Lyra Community Solar,44.240346,-93.585787,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Argo Navis Community Solar,45.255245,-92.772284,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Pfeffers,39.427570,-76.393562,"PJM Interconnection, LLC",,Baltimore Gas & Electric Co
Boston Medical Center CHP Plant,42.334651,-71.074171,ISO New England Inc.,,NSTAR Electric Company
